Part,Description,Amount,MPN,Link
Adafruit Feather RP2040 Adalogger,main board,1,5980,https://mou.sr/4baPHUJ
Adafruit BMP390,barometer,1,4816,https://mou.sr/4uvOA9I
Adafruit MiniBoost 5V,booster,1,4654,https://mou.sr/4diH9MU
Tower Pro MG90S,servo motor,1,MG90S-360,https://www.hestore.hu/prod_10048104.html
JST PH 2-pin cable,battery cable,1,261,https://mou.sr/4luIpPd
CNC Kitchen M2x3,threaded insert,1,"TC-M2x3,0",https://www.3djake.com/cnc-kitchen/threaded-inserts-m2-standard
CNC Kitchen M2.5x4,threaded insert,1,"TC-M2,5x4",https://www.3djake.com/cnc-kitchen/threaded-inserts-m25-standard
cylinder head M2,screw,3,N/A,https://www.amazon.de/-/en/FandWay-Cylinder-Hexagon-Threaded-Stainless/dp/B0F3HJHFFS?th=1
cylinder head M3,screw,13,N/A,
Dupont wires,jumper wires,7,N/A,https://www.amazon.de/-/en/Elegoo-120pcs-Multicolored-Breadboard-arduino/dp/B01EV70C78?s=industrial&th=1
